checking_account_status,duration_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,target,default_risk,risk_label
< 0 DM,21,Existing credits paid back duly,Radio/television,2606,< 100 DM,< 1 year,4,A92,A101,4,Savings/life insurance,28,A143,Rent,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Furniture/equipment,1592,>= 1000 DM,4-7 years,3,A92,A101,2,Savings/life insurance,35,A143,Own,1,Skilled employee,1,A191,A202,1,0,Good Credit
No checking account,15,Existing credits paid back duly,Furniture/equipment,2186,Unknown / no savings,4-7 years,1,A92,A101,4,Real estate,33,A141,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Furniture/equipment,4153,< 100 DM,1-4 years,2,A93,A102,3,Car or other,42,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,16,Critical account / other credits,New car,2625,< 100 DM,>= 7 years,2,A93,A103,4,Savings/life insurance,43,A141,Rent,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,20,Critical account / other credits,New car,3485,Unknown / no savings,< 1 year,2,A91,A101,4,Real estate,44,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,36,Critical account / other credits,Used car,10477,Unknown / no savings,>= 7 years,2,A93,A101,4,Unknown / no property,42,A143,Free,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,15,Existing credits paid back duly,Radio/television,1386,Unknown / no savings,1-4 years,4,A94,A101,2,Real estate,40,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Radio/television,1278,< 100 DM,>= 7 years,4,A93,A101,1,Real estate,36,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Radio/television,1107,< 100 DM,1-4 years,2,A93,A101,2,Real estate,20,A143,Rent,1,Management / self-employed,2,A192,A201,1,0,Good Credit
< 0 DM,21,Existing credits paid back duly,New car,3763,Unknown / no savings,4-7 years,2,A93,A102,2,Real estate,24,A143,Own,1,Unskilled resident,1,A191,A202,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,Education,3711,Unknown / no savings,1-4 years,2,A94,A101,2,Car or other,27,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,15,Delay in past payments,Used car,3594,< 100 DM,< 1 year,1,A92,A101,2,Savings/life insurance,46,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,9,Existing credits paid back duly,New car,3195,Unknown / no savings,1-4 years,1,A92,A101,2,Real estate,33,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,36,Delay in past payments,Radio/television,4454,< 100 DM,1-4 years,4,A92,A101,4,Real estate,34,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,24,Critical account / other credits,Furniture/equipment,4736,< 100 DM,< 1 year,2,A92,A101,4,Car or other,25,A141,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
0-200 DM,30,Existing credits paid back duly,Radio/television,2991,Unknown / no savings,>= 7 years,2,A92,A101,4,Car or other,25,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,11,Existing credits paid back duly,Business,2142,>= 1000 DM,>= 7 years,1,A91,A101,2,Real estate,28,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,24,All credits at this bank paid back,Business,3161,< 100 DM,1-4 years,4,A93,A101,2,Savings/life insurance,31,A143,Rent,1,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,48,No credits / paid back duly,Other,18424,< 100 DM,1-4 years,1,A92,A101,2,Savings/life insurance,32,A141,Own,1,Management / self-employed,1,A192,A202,2,1,Bad Credit
No checking account,10,Existing credits paid back duly,Used car,2848,100-500 DM,1-4 years,1,A93,A102,2,Real estate,32,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,6,Existing credits paid back duly,New car,14896,< 100 DM,>= 7 years,1,A93,A101,4,Unknown / no property,68,A141,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,Furniture/equipment,2359,100-500 DM,Unemployed,1,A91,A101,1,Savings/life insurance,33,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,Furniture/equipment,3345,< 100 DM,>= 7 years,4,A93,A101,2,Savings/life insurance,39,A143,Rent,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,18,Critical account / other credits,Furniture/equipment,1817,< 100 DM,1-4 years,4,A92,A101,2,Unknown / no property,28,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,48,Delay in past payments,Radio/television,12749,500-1000 DM,4-7 years,4,A93,A101,1,Car or other,37,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,9,Existing credits paid back duly,Radio/television,1366,< 100 DM,< 1 year,3,A92,A101,4,Savings/life insurance,22,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,12,Existing credits paid back duly,New car,2002,< 100 DM,4-7 years,3,A93,A101,4,Savings/life insurance,30,A143,Rent,1,Skilled employee,2,A192,A201,1,0,Good Credit
< 0 DM,24,All credits at this bank paid back,Furniture/equipment,6872,< 100 DM,< 1 year,2,A91,A101,1,Savings/life insurance,55,A141,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,12,All credits at this bank paid back,New car,697,< 100 DM,< 1 year,4,A93,A101,2,Car or other,46,A141,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,18,Critical account / other credits,Furniture/equipment,1049,< 100 DM,< 1 year,4,A92,A101,4,Savings/life insurance,21,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,48,Existing credits paid back duly,Used car,10297,< 100 DM,4-7 years,4,A93,A101,4,Unknown / no property,39,A142,Free,3,Skilled employee,2,A192,A201,2,1,Bad Credit
No checking account,30,Existing credits paid back duly,Radio/television,1867,Unknown / no savings,>= 7 years,4,A93,A101,4,Car or other,58,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,12,Delay in past payments,New car,1344,< 100 DM,1-4 years,4,A93,A101,2,Real estate,43,A143,Own,2,Unskilled resident,2,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Furniture/equipment,1747,< 100 DM,< 1 year,4,A93,A102,1,Savings/life insurance,24,A143,Own,1,Unskilled resident,1,A191,A202,1,0,Good Credit
0-200 DM,9,Existing credits paid back duly,Radio/television,1670,< 100 DM,< 1 year,4,A92,A101,2,Car or other,22,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,9,Critical account / other credits,New car,1224,< 100 DM,1-4 years,3,A93,A101,1,Real estate,30,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Radio/television,522,500-1000 DM,>= 7 years,4,A93,A101,4,Savings/life insurance,42,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Radio/television,1498,< 100 DM,1-4 years,4,A92,A101,1,Car or other,23,A141,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,30,Delay in past payments,Radio/television,1919,100-500 DM,< 1 year,4,A93,A101,3,Unknown / no property,30,A142,Own,2,Management / self-employed,1,A191,A201,2,1,Bad Credit
>= 200 DM,9,Existing credits paid back duly,Radio/television,745,< 100 DM,1-4 years,3,A92,A101,2,Real estate,28,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
0-200 DM,6,Existing credits paid back duly,Radio/television,2063,< 100 DM,< 1 year,4,A94,A101,3,Car or other,30,A143,Rent,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,60,Existing credits paid back duly,Education,6288,< 100 DM,1-4 years,4,A93,A101,4,Unknown / no property,42,A143,Free,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Used car,6842,Unknown / no savings,1-4 years,2,A93,A101,4,Savings/life insurance,46,A143,Own,2,Management / self-employed,2,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,New car,3527,Unknown / no savings,< 1 year,2,A93,A101,3,Savings/life insurance,45,A143,Own,1,Management / self-employed,2,A192,A201,1,0,Good Credit
No checking account,10,Existing credits paid back duly,New car,1546,< 100 DM,1-4 years,3,A93,A101,2,Real estate,31,A143,Own,1,Unskilled resident,2,A191,A202,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Furniture/equipment,929,Unknown / no savings,4-7 years,4,A93,A101,2,Car or other,31,A142,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,4,Critical account / other credits,New car,1455,< 100 DM,4-7 years,2,A93,A101,1,Real estate,42,A143,Own,3,Unskilled resident,2,A191,A201,1,0,Good Credit
< 0 DM,15,Existing credits paid back duly,Furniture/equipment,1845,< 100 DM,< 1 year,4,A92,A103,1,Savings/life insurance,46,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,48,No credits / paid back duly,New car,8358,500-1000 DM,< 1 year,1,A92,A101,1,Car or other,30,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,24,All credits at this bank paid back,Furniture/equipment,3349,500-1000 DM,< 1 year,4,A93,A101,4,Unknown / no property,30,A143,Free,1,Skilled employee,2,A192,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,New car,2859,Unknown / no savings,Unemployed,4,A93,A101,4,Unknown / no property,38,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Furniture/equipment,1533,< 100 DM,< 1 year,4,A94,A102,1,Savings/life insurance,43,A143,Own,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,Radio/television,3621,100-500 DM,>= 7 years,2,A93,A101,4,Car or other,31,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,18,Critical account / other credits,Business,3590,< 100 DM,Unemployed,3,A94,A101,3,Car or other,40,A143,Own,3,Unemployed / unskilled non-resident,2,A192,A201,1,0,Good Credit
< 0 DM,36,Delay in past payments,Business,2145,< 100 DM,4-7 years,2,A93,A101,1,Car or other,24,A143,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,24,Existing credits paid back duly,Used car,4113,500-1000 DM,< 1 year,3,A92,A101,4,Car or other,28,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,36,Existing credits paid back duly,Furniture/equipment,10974,< 100 DM,Unemployed,4,A92,A101,2,Car or other,26,A143,Own,2,Management / self-employed,1,A192,A201,2,1,Bad Credit
< 0 DM,12,Existing credits paid back duly,New car,1893,< 100 DM,1-4 years,4,A92,A103,4,Savings/life insurance,29,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,24,Critical account / other credits,Radio/television,1231,>= 1000 DM,>= 7 years,4,A92,A101,4,Savings/life insurance,57,A143,Rent,2,Management / self-employed,1,A192,A201,1,0,Good Credit
>= 200 DM,30,Critical account / other credits,Radio/television,3656,Unknown / no savings,>= 7 years,4,A93,A101,4,Savings/life insurance,49,A142,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,9,Critical account / other credits,Radio/television,1154,< 100 DM,>= 7 years,2,A93,A101,4,Real estate,37,A143,Own,3,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,28,Existing credits paid back duly,New car,4006,< 100 DM,1-4 years,3,A93,A101,2,Car or other,45,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
0-200 DM,24,Existing credits paid back duly,Furniture/equipment,3069,100-500 DM,>= 7 years,4,A93,A101,4,Unknown / no property,30,A143,Free,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,6,Critical account / other credits,Radio/television,1740,< 100 DM,>= 7 years,2,A94,A101,2,Real estate,30,A143,Rent,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,21,Delay in past payments,New car,2353,< 100 DM,1-4 years,1,A91,A101,4,Savings/life insurance,47,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,15,Existing credits paid back duly,New car,3556,Unknown / no savings,1-4 years,3,A93,A101,2,Unknown / no property,29,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Radio/television,2397,500-1000 DM,>= 7 years,3,A93,A101,2,Car or other,35,A141,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,6,Existing credits paid back duly,Repairs,454,< 100 DM,< 1 year,3,A94,A101,1,Savings/life insurance,22,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,30,Existing credits paid back duly,Radio/television,1715,Unknown / no savings,1-4 years,4,A92,A101,1,Car or other,26,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,27,Critical account / other credits,Radio/television,2520,500-1000 DM,1-4 years,4,A93,A101,2,Savings/life insurance,23,A143,Own,2,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,15,Existing credits paid back duly,Radio/television,3568,< 100 DM,>= 7 years,4,A92,A101,2,Car or other,54,A141,Rent,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,42,Existing credits paid back duly,Radio/television,7166,Unknown / no savings,4-7 years,2,A94,A101,4,Savings/life insurance,29,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,11,Critical account / other credits,New car,3939,< 100 DM,1-4 years,1,A93,A101,2,Real estate,40,A143,Own,2,Unskilled resident,2,A191,A201,1,0,Good Credit
0-200 DM,15,Existing credits paid back duly,Repairs,1514,100-500 DM,1-4 years,4,A93,A103,2,Real estate,22,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,New car,7393,< 100 DM,1-4 years,1,A93,A101,4,Savings/life insurance,43,A143,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
< 0 DM,24,All credits at this bank paid back,New car,1193,< 100 DM,Unemployed,1,A92,A102,4,Unknown / no property,29,A143,Rent,2,Unemployed / unskilled non-resident,1,A191,A201,2,1,Bad Credit
< 0 DM,60,Existing credits paid back duly,Business,7297,< 100 DM,>= 7 years,4,A93,A102,4,Unknown / no property,36,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,30,Critical account / other credits,Radio/television,2831,< 100 DM,1-4 years,4,A92,A101,2,Car or other,33,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
>= 200 DM,24,Existing credits paid back duly,Radio/television,1258,500-1000 DM,1-4 years,3,A92,A101,3,Car or other,57,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,6,Existing credits paid back duly,Radio/television,753,< 100 DM,1-4 years,2,A92,A103,3,Real estate,64,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,18,Delay in past payments,Business,2427,Unknown / no savings,>= 7 years,4,A93,A101,2,Savings/life insurance,42,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Delay in past payments,New car,2538,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,47,A143,Own,2,Unskilled resident,2,A191,A201,2,1,Bad Credit
0-200 DM,15,All credits at this bank paid back,New car,1264,100-500 DM,1-4 years,2,A94,A101,2,Savings/life insurance,25,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,30,Critical account / other credits,Furniture/equipment,8386,< 100 DM,4-7 years,2,A93,A101,2,Savings/life insurance,49,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,48,Existing credits paid back duly,Business,4844,< 100 DM,Unemployed,3,A93,A101,2,Car or other,33,A141,Rent,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
>= 200 DM,21,Existing credits paid back duly,New car,2923,100-500 DM,1-4 years,1,A92,A101,1,Car or other,28,A141,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,Used car,8229,< 100 DM,1-4 years,2,A93,A101,2,Savings/life insurance,26,A143,Own,1,Skilled employee,2,A191,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Furniture/equipment,2028,< 100 DM,4-7 years,2,A93,A101,2,Savings/life insurance,30,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,15,Critical account / other credits,Furniture/equipment,1433,< 100 DM,1-4 years,4,A92,A101,3,Savings/life insurance,25,A143,Rent,2,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,42,No credits / paid back duly,Business,6289,< 100 DM,< 1 year,2,A91,A101,1,Savings/life insurance,33,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,13,Existing credits paid back duly,Radio/television,1409,100-500 DM,Unemployed,2,A92,A101,4,Real estate,64,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Used car,6579,< 100 DM,Unemployed,4,A93,A101,2,Unknown / no property,29,A143,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,24,Critical account / other credits,Radio/television,1743,< 100 DM,>= 7 years,4,A93,A101,2,Savings/life insurance,48,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Education,3565,Unknown / no savings,< 1 year,2,A93,A101,1,Savings/life insurance,37,A143,Own,2,Unskilled resident,2,A191,A201,1,0,Good Credit
No checking account,15,All credits at this bank paid back,Radio/television,1569,100-500 DM,>= 7 years,4,A93,A101,4,Car or other,34,A141,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Radio/television,1936,Unknown / no savings,4-7 years,2,A94,A101,4,Car or other,23,A143,Rent,2,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,Furniture/equipment,3959,< 100 DM,Unemployed,4,A93,A101,3,Savings/life insurance,30,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,New car,2390,Unknown / no savings,>= 7 years,4,A93,A101,3,Car or other,50,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Furniture/equipment,1736,< 100 DM,4-7 years,3,A92,A101,4,Real estate,31,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,30,Existing credits paid back duly,Used car,3857,< 100 DM,1-4 years,4,A91,A101,4,Savings/life insurance,40,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Radio/television,804,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,38,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,45,Existing credits paid back duly,Radio/television,1845,< 100 DM,1-4 years,4,A93,A101,4,Unknown / no property,23,A143,Free,1,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,45,Critical account / other credits,Used car,4576,100-500 DM,Unemployed,3,A93,A101,4,Car or other,27,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
